CaseDate,Count
2020-03-05,1
2020-07-12,0
2020-03-07,1
2020-07-12,0
2020-07-12,0
2020-07-12,0
2020-07-12,0
2020-03-12,1
2020-03-13,5
2020-03-14,2
2020-03-15,4
2020-03-16,4
2020-03-17,4
2020-03-18,7
2020-03-19,5
2020-03-20,10
2020-03-21,15
2020-03-22,17
2020-03-23,16
2020-03-24,20
2020-03-25,33
2020-03-26,27
2020-03-27,57
2020-03-28,43
2020-03-29,58
2020-03-30,54
2020-03-31,41
2020-04-01,65
2020-04-02,62
2020-04-03,66
2020-04-04,55
2020-04-05,41
2020-04-06,56
2020-04-07,56
2020-04-08,68
2020-04-09,73
2020-04-10,59
2020-04-11,56
2020-04-12,64
2020-04-13,54
2020-04-14,61
2020-04-15,57
2020-04-16,77
2020-04-17,55
2020-04-18,52
2020-04-19,62
2020-04-20,57
2020-04-21,53
2020-04-22,61
2020-04-23,75
2020-04-24,43
2020-04-25,38
2020-04-26,38
2020-04-27,57
2020-04-28,37
2020-04-29,53
2020-04-30,41
2020-05-01,46
2020-05-02,48
2020-05-03,35
2020-05-04,47
2020-05-05,42
2020-05-06,30
2020-05-07,24
2020-05-08,32
2020-05-09,41
2020-05-10,22
2020-05-11,33
2020-05-12,51
2020-05-13,50
2020-05-14,57
2020-05-15,31
2020-05-16,47
2020-05-17,32
2020-05-18,22
2020-05-19,27
2020-05-20,56
2020-05-21,36
2020-05-22,29
2020-05-23,29
2020-05-24,30
2020-05-25,23
2020-05-26,22
2020-05-27,32
2020-05-28,32
2020-05-29,29
2020-05-30,23
2020-05-31,22
2020-06-01,20
2020-06-02,26
2020-06-03,32
2020-06-04,26
2020-06-05,27
2020-06-06,22
2020-06-07,18
2020-06-08,26
2020-06-09,24
2020-06-10,39
2020-06-11,27
2020-06-12,43
2020-06-13,21
2020-06-14,22
2020-06-15,46
2020-06-16,23
2020-06-17,31
2020-06-18,29
2020-06-19,33
2020-06-20,27
2020-06-21,35
2020-06-22,57
2020-06-23,37
2020-06-24,38
2020-06-25,54
2020-06-26,47
2020-06-27,59
2020-06-28,28
2020-06-29,33
2020-06-30,26
2020-07-01,37
2020-07-02,35
2020-07-03,16
2020-07-04,23
2020-07-05,9
2020-07-06,27
2020-07-07,16
2020-07-08,14
2020-07-09,15
2020-07-10,9
2020-07-11,5
2020-07-12,2
