CaseDate,Count
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,2
2020-03-03,2
2020-03-04,4
2020-03-05,1
2020-03-06,
2020-03-07,4
2020-03-08,1
2020-03-09,5
2020-03-10,3
2020-03-11,6
2020-03-12,7
2020-03-13,24
2020-03-14,45
2020-03-15,33
2020-03-16,31
2020-03-17,70
2020-03-18,107
2020-03-19,87
2020-03-20,150
2020-03-21,217
2020-03-22,306
2020-03-23,193
2020-03-24,300
2020-03-25,516
2020-03-26,560
2020-03-27,689
2020-03-28,725
2020-03-29,909
2020-03-30,896
2020-03-31,937
2020-04-01,1072
2020-04-02,1298
2020-04-03,1312
2020-04-04,1190
2020-04-05,784
2020-04-06,1210
2020-04-07,1048
2020-04-08,1072
2020-04-09,1060
2020-04-10,1119
2020-04-11,1091
2020-04-12,825
2020-04-13,968
2020-04-14,600
2020-04-15,919
2020-04-16,1210
2020-04-17,1090
2020-04-18,746
2020-04-19,717
2020-04-20,756
2020-04-21,894
2020-04-22,719
2020-04-23,1233
2020-04-24,758
2020-04-25,805
2020-04-26,523
2020-04-27,761
2020-04-28,354
2020-04-29,528
2020-04-30,997
2020-05-01,716
2020-05-02,640
2020-05-03,773
2020-05-04,588
2020-05-05,633
2020-05-06,643
2020-05-07,357
2020-05-08,795
2020-05-09,699
2020-05-10,392
2020-05-11,648
2020-05-12,817
2020-05-13,808
2020-05-14,806
2020-05-15,495
2020-05-16,1154
2020-05-17,669
2020-05-18,629
2020-05-19,490
2020-05-20,1206
2020-05-21,742
2020-05-22,749
2020-05-23,562
2020-05-24,999
2020-05-25,510
2020-05-26,490
2020-05-27,625
2020-05-28,1238
2020-05-29,767
2020-05-30,878
2020-05-31,722
2020-06-01,634
2020-06-02,1239
2020-06-03,1314
2020-06-04,267
