occurrence date,report date,total persons tested
2020-03-19,2020-03-20,6277
2020-03-20,2020-03-21,7237
2020-03-21,2020-03-21,8334
2020-03-21,2020-03-22,10338
2020-03-22,2020-03-23,12865
2020-03-23,2020-03-24,14826
2020-03-24,2020-03-25,22145
2020-03-25,2020-03-26,26099
2020-03-26,2020-03-27,34322
2020-03-27,2020-03-28,39524
2020-03-28,2020-03-29,49443
2020-03-29,2020-03-30,55516
2020-03-30,2020-04-01,68336
2020-04-01,2020-04-02,80385
2020-04-02,2020-04-03,94447
2020-04-03,2020-04-04,105994
2020-04-04,2020-04-05,115704
2020-04-05,2020-04-06,124726
2020-04-06,2020-04-07,138262
2020-04-07,2020-04-08,143707
2020-04-08,2020-04-09,156852
2020-04-09,2020-04-10,165686
2020-04-10,2020-04-11,175834
2020-04-11,2020-04-12,185520
2020-04-12,2020-04-13,199767
2020-04-13,2020-04-14,206537
2020-04-14,2020-04-15,214210
2020-04-15,2020-04-16,224459
2020-04-16,2020-04-17,240604
2020-04-17,2020-04-18,251969
2020-04-18,2020-04-19,261342
2020-04-19,2020-04-20,272390
2020-04-20,2020-04-21,277685
2020-04-21,2020-04-22,292636
2020-04-22,2020-04-23,301721
2020-04-23,2020-04-24,319619
2020-04-24,2020-04-25,333682
2020-04-25,2020-04-26,345182
2020-04-26,2020-04-27,357028
2020-04-27,2020-04-28,367435
2020-04-28,2020-04-29,374048
2020-04-29,2020-04-30,382966
2020-04-30,2020-05-01,403260
2020-05-01,2020-05-02,416563
2020-05-02,2020-05-03,428744
2020-05-03,2020-05-04,444814
2020-05-04,2020-05-05,466288
2020-05-05,2020-05-06,480654
2020-05-06,2020-05-07,493576
2020-05-07,2020-05-08,514017
2020-05-08,2020-05-09,528413
2020-05-09,2020-05-10,539630
2020-05-10,2020-05-11,561741
2020-05-11,2020-05-12,580316
2020-05-12,2020-05-13,595478
2020-05-13,2020-05-14,609574
2020-05-14,2020-05-15,629895
2020-05-15,2020-05-16,630795
2020-05-16,2020-05-17,653081
2020-05-17,2020-05-18,677710
2020-05-18,2020-05-19,717162
2020-05-19,2020-05-20,772669
2020-05-20,2020-05-21,815584
2020-05-21,2020-05-22,837172
2020-05-22,2020-05-23,858112
2020-05-23,2020-05-24,872916
2020-05-24,2020-05-25,909928
2020-05-25,2020-05-26,924920
2020-05-26,2020-05-27,935271
2020-05-27,2020-05-28,953321
2020-05-28,2020-05-29,984160
2020-05-29,2020-05-30,995886
2020-05-30,2020-05-31,1022265
2020-05-31,2020-06-01,1041318
2020-06-01,2020-06-02,1050671
2020-06-02,2020-06-03,1081825
2020-06-03,2020-06-04,1107952
2020-06-04,2020-06-05,1135865
2020-06-05,2020-06-06,1175106
2020-06-06,2020-06-07,1217105
2020-06-07,2020-06-08,1235513
2020-06-08,2020-06-09,1259283
2020-06-09,2020-06-10,1280003
2020-06-10,2020-06-11,1307728
2020-06-11,2020-06-12,1336895
2020-06-12,2020-06-13,1371401
2020-06-13,2020-06-14,1409992
2020-06-14,2020-06-15,1431164
2020-06-15,2020-06-16,1461297
2020-06-16,2020-06-17,1486759
2020-06-17,2020-06-18,1512315
2020-06-18,2020-06-19,1533876
2020-06-19,2020-06-20,1562280
2020-06-20,2020-06-21,1600335
2020-06-21,2020-06-22,1618540
2020-06-22,2020-06-23,1641863
2020-06-23,2020-06-24,1669440
2020-06-24,2020-06-25,1721812
2020-06-25,2020-06-26,1770081
2020-06-26,2020-06-27,1830791
2020-06-27,2020-06-28,1883244
2020-06-28,2020-06-29,1914151
2020-06-29,2020-06-30,1946510
2020-06-30,2020-07-01,1981915
2020-07-01,2020-07-02,2033794
2020-07-02,2020-07-03,2083056
2020-07-03,2020-07-04,2148327
2020-07-04,2020-07-05,2202095
2020-07-05,2020-07-06,2235937
2020-07-06,2020-07-07,
