Updated At,Bed Census,Available,Available Capacity,Total Staffed Bed Capacity
2020-05-31 16:18,"41,527","18,353",0.306496326,"59,880"
2020-06-01 16:18,"41,782","17,868",0.299547360,"59,650"
2020-06-02 16:18,"43,655","16,643",0.276012471,"60,298"
2020-06-03 16:18,"44,025","16,364",0.270976502,"60,389"
2020-06-04 16:18,"44,123","16,517",0.272377968,"60,640"
2020-06-05 16:18,"43,744","16,779",0.277233448,"60,523"
2020-06-06 16:18,"42,594","17,995",0.297001106,"60,589"
2020-06-07 16:18,"41,511","18,932",0.313220720,"60,443"
2020-06-08 16:18,"41,610","18,432",0.306985110,"60,042"
2020-06-09 16:18,"45,377","16,283",0.264077198,"61,660"
2020-06-10 16:18,"45,238","16,125",0.262780503,"61,363"
2020-06-11 16:18,"45,564","15,333",0.251785802,"60,897"
2020-06-12 16:18,"45,367","15,641",0.256376213,"61,008"
2020-06-13 16:18,"43,686","16,497",0.274113952,"60,183"
2020-06-14 16:18,"42,244","17,356",0.291208054,"59,600"
2020-06-15 16:18,"42,842","17,232",0.286846223,"60,074"
2020-06-16 16:18,"44,846","15,437",0.256075511,"60,283"
2020-06-17 16:18,"45,575","15,094",0.248792629,"60,669"
2020-06-18 16:18,"45,585","14,747",0.244430816,"60,332"
2020-06-19 16:18,"45,428","14,984",0.248030193,"60,412"
2020-06-20 16:18,"43,906","16,421",0.272199844,"60,327"
2020-06-21 16:18,"42,530","17,088",0.286624845,"59,618"
2020-06-23 16:18,"45,455","14,903",0.246910103,"60,358"
2020-06-24 16:18,"46,079","14,235",0.236014856,"60,314"
2020-06-25 16:18,"46,114","14,174",0.235104830,"60,288"
2020-06-26 16:18,"45,895","14,241",0.236813223,"60,136"
2020-06-27 16:18,"44,860","15,096",0.251784642,"59,956"
2020-06-28 16:18,"43,833","15,822",0.265225044,"59,655"
2020-06-29 16:18,"44,476","15,347",0.256540127,"59,823"
2020-06-30 16:18,"46,574","13,413",0.223598446,"59,987"
2020-07-01 16:18,"47,006","12,712",0.212867142,"59,718"
2020-07-02 16:18,"47,029","12,035",0.203762021,"59,064"
2020-07-03 16:18,"46,353","13,360",0.223736875,"59,713"
2020-07-04 16:18,"43,979","14,932",0.253467094,"58,911"
2020-07-05 16:18,"43,383","15,283",0.260508642,"58,666"
2020-07-06 16:18,"44,869","14,308",0.241783125,"59,177"
2020-07-07 16:18,"46,942","12,257",0.207047416,"59,199"
2020-07-08 16:18,"47,790","11,987",0.200528631,"59,777"
2020-07-09 16:18,"48,118","11,792",0.196828576,"59,910"
2020-07-10 16:18,"47,663","11,782",0.198200017,"59,445"
2020-07-11 16:18,"46,802","13,050",0.218037827,"59,852"
2020-07-12 16:18,"45,696","14,100",0.235801726,"59,796"
