Updated At,Bed Census,Available,Available Capacity,Total Staffed Bed Capacity
2020-05-31 23:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 03:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 23:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 03:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 13:18,"43,626","16,666",0.276421416,"60,292"
2020-06-02 23:18,"43,635","16,657",0.276272142,"60,292"
2020-06-03 03:18,"43,618","16,664",0.276434093,"60,282"
2020-06-03 13:18,"44,032","16,364",0.270945096,"60,396"
2020-06-03 23:18,"43,993","16,396",0.271506400,"60,389"
2020-06-04 03:18,"43,993","16,396",0.271506400,"60,389"
2020-06-04 13:18,"44,135","16,512",0.272264086,"60,647"
2020-06-04 23:18,"44,064","16,558",0.273135165,"60,622"
2020-06-05 13:18,"43,777","16,722",0.276401263,"60,499"
2020-06-05 03:18,"44,086","16,558",0.273036079,"60,644"
2020-06-05 23:18,"43,601","16,843",0.278654622,"60,444"
2020-06-06 03:18,"43,587","16,844",0.278731115,"60,431"
2020-06-06 13:18,"42,594","17,995",0.297001106,"60,589"
2020-06-06 23:18,"42,495","18,267",0.300631974,"60,762"
2020-06-07 03:18,"42,495","18,267",0.300631974,"60,762"
2020-06-07 13:18,"41,349","18,958",0.314358201,"60,307"
2020-06-07 23:18,"41,185","18,930",0.314896448,"60,115"
2020-06-08 03:18,"41,185","18,930",0.314896448,"60,115"
2020-06-08 13:18,"41,616","18,432",0.306954436,"60,048"
2020-06-08 23:18,"41,626","18,444",0.307041785,"60,070"
2020-06-09 03:18,"41,626","18,444",0.307041785,"60,070"
2020-06-09 13:18,"45,357","16,310",0.264485057,"61,667"
2020-06-09 23:18,"45,370","16,293",0.264226522,"61,663"
2020-06-10 03:18,"45,370","16,293",0.264226522,"61,663"
2020-06-10 13:18,"45,223","16,154",0.263193053,"61,377"
2020-06-10 23:18,"45,213","16,119",0.262815496,"61,332"
2020-06-11 03:18,"45,213","16,119",0.262815496,"61,332"
2020-06-11 13:18,"45,574","15,326",0.251658456,"60,900"
2020-06-11 23:18,"45,539","15,343",0.252012089,"60,882"
2020-06-12 03:18,"45,545","15,338",0.251925825,"60,883"
2020-06-12 13:18,"45,377","15,637",0.256285443,"61,014"
2020-06-12 23:18,"45,264","15,685",0.257346306,"60,949"
2020-06-13 03:18,"45,264","15,685",0.257346306,"60,949"
2020-06-13 13:18,"43,726","16,457",0.273449313,"60,183"
2020-06-13 23:18,"43,607","16,567",0.275318244,"60,174"
2020-06-14 03:18,"43,594","16,584",0.275582439,"60,178"
2020-06-14 13:18,"42,244","17,356",0.291208054,"59,600"
2020-06-14 23:18,"42,245","17,360",0.291250734,"59,605"
2020-06-15 03:18,"42,245","17,360",0.291250734,"59,605"
2020-06-15 13:18,"42,840","17,234",0.286879515,"60,074"
2020-06-15 23:18,"42,828","17,249",0.287114869,"60,077"
2020-06-16 03:18,"42,827","17,250",0.287131515,"60,077"
2020-06-16 13:18,"44,837","15,443",0.256187790,"60,280"
2020-06-16 23:18,"44,826","15,460",0.256444282,"60,286"
2020-06-17 03:18,"44,826","15,460",0.256444282,"60,286"
2020-06-17 13:18,"45,578","15,087",0.248693645,"60,665"
2020-06-17 23:18,"45,540","15,114",0.249183896,"60,654"
2020-06-18 03:18,"45,540","15,114",0.249183896,"60,654"
2020-06-18 13:18,"45,570","14,746",0.244479077,"60,316"
2020-06-18 23:18,"45,533","14,786",0.245130059,"60,319"
2020-06-19 03:18,"45,532","14,787",0.245146637,"60,319"
2020-06-19 13:18,"45,438","14,980",0.247939356,"60,418"
2020-06-19 23:18,"45,352","15,032",0.248940117,"60,384"
2020-06-20 03:18,"45,351","15,033",0.248956677,"60,384"
2020-06-20 13:18,"43,914","16,377",0.271632582,"60,291"
2020-06-20 23:18,"43,877","16,440",0.272559975,"60,317"
2020-06-21 03:18,"43,877","16,440",0.272559975,"60,317"
2020-06-21 13:18,"42,531","17,087",0.286608071,"59,618"
2020-06-21 23:18,"42,511","17,042",0.286165265,"59,553"
2020-06-22 03:18,"42,511","17,042",0.286165265,"59,553"
2020-06-22 13:18,"43,041","16,559",0.277835570,"59,600"
2020-06-22 23:18,"43,038","16,554",0.277788965,"59,592"
2020-06-23 03:18,"43,038","16,554",0.277788965,"59,592"
2020-06-23 13:18,"45,455","14,903",0.246910103,"60,358"
2020-06-23 23:18,"45,431","14,971",0.247856031,"60,402"
2020-06-24 03:18,"45,430","14,972",0.247872587,"60,402"
