Updated At,Bed Census,Available,Available Capacity,Total Staffed Bed Capacity
2020-05-31 16:18,"41,527","18,353",0.306496326,"59,880"
2020-05-31 17:18,"42,858","17,524",0.290218939,"60,382"
2020-05-31 18:18,"41,501","18,373",0.306861075,"59,874"
2020-05-31 19:18,"41,501","18,373",0.306861075,"59,874"
2020-05-31 20:18,"41,501","18,352",0.306617880,"59,853"
2020-05-31 21:18,"41,501","18,352",0.306617880,"59,853"
2020-05-31 22:18,"41,501","18,352",0.306617880,"59,853"
2020-05-31 23:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 00:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 01:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 02:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 03:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 04:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 05:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 06:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 07:18,"41,501","18,352",0.306617880,"59,853"
2020-06-01 08:18,"41,514","18,277",0.305681457,"59,791"
2020-06-01 09:18,"41,535","18,120",0.303746543,"59,655"
2020-06-01 10:18,"41,775","17,847",0.299335816,"59,622"
2020-06-01 11:18,"41,782","17,865",0.299512130,"59,647"
2020-06-01 12:18,"41,777","17,875",0.299654664,"59,652"
2020-06-01 13:20,"41,777","17,875",0.299654664,"59,652"
2020-06-01 14:18,"41,782","17,868",0.299547360,"59,650"
2020-06-01 15:18,"41,782","17,868",0.299547360,"59,650"
2020-06-01 16:18,"41,782","17,868",0.299547360,"59,650"
2020-06-01 17:18,"41,784","17,866",0.299513831,"59,650"
2020-06-01 18:18,"41,784","17,866",0.299513831,"59,650"
2020-06-01 19:18,"41,758","17,890",0.299926234,"59,648"
2020-06-01 20:18,"41,780","17,888",0.299792183,"59,668"
2020-06-01 21:18,"41,774","17,903",0.299998324,"59,677"
2020-06-01 22:18,"41,780","17,888",0.299792183,"59,668"
2020-06-01 23:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 00:18,"41,780","17,888",0.299792183,"59,668"
2020-06-02 02:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 03:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 04:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 05:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 06:18,"41,774","17,903",0.299998324,"59,677"
2020-06-02 07:18,"41,774","17,903",0.299998324,"59,677"
