Updated At,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Total AdultICU Capacity,Pediatric ICU Census,Available Pediatric ICU,Available Pediatric ICU%,Total PediatricICU Capacity
2020-05-31 16:19,"4,294","1,677",0.280857478,"5,971",363,234,0.391959799,597
2020-06-01 16:19,"4,288","1,716",0.285809460,"6,004",360,225,0.384615385,585
2020-06-02 16:19,"4,425","1,624",0.268474128,"6,049",407,204,0.333878887,611
2020-06-03 16:19,"4,463","1,543",0.256909757,"6,006",388,207,0.347899160,595
2020-06-04 16:19,"4,531","1,508",0.249710217,"6,039",408,237,0.367441860,645
2020-06-05 16:19,"4,483","1,525",0.253828229,"6,008",385,210,0.352941176,595
2020-06-06 16:19,"4,528","1,483",0.246714357,"6,011",385,281,0.421921922,666
2020-06-07 16:19,"4,207","1,702",0.288035201,"5,909",354,228,0.391752577,582
2020-06-08 16:19,"4,237","1,662",0.281742668,"5,899",346,236,0.405498282,582
2020-06-09 16:19,"4,556","1,468",0.243691899,"6,024",382,209,0.353637902,591
2020-06-10 16:19,"4,639","1,373",0.228376580,"6,012",380,220,0.366666667,600
2020-06-11 16:19,"4,654","1,437",0.235921852,"6,091",407,189,0.317114094,596
2020-06-12 16:19,"4,733","1,445",0.233894464,"6,178",413,194,0.319604613,607
2020-06-13 16:19,"4,526","1,570",0.257545932,"6,096",389,212,0.352745424,601
2020-06-14 16:19,"4,454","1,581",0.261971831,"6,035",367,226,0.381112985,593
2020-06-15 16:19,"4,363","1,659",0.275489870,"6,022",361,223,0.381849315,584
2020-06-16 16:19,"4,590","1,429",0.237414853,"6,019",361,239,0.398333333,600
2020-06-17 16:19,"4,596","1,409",0.234637802,"6,005",379,219,0.366220736,598
2020-06-18 16:19,"4,693","1,371",0.226088391,"6,064",427,181,0.297697368,608
2020-06-19 16:19,"4,768","1,379",0.224337075,"6,147",408,205,0.334420881,613
2020-06-20 16:19,"4,529","1,526",0.252023121,"6,055",393,208,0.346089850,601
2020-06-21 16:19,"4,316","1,647",0.276203253,"5,963",368,238,0.392739274,606
2020-06-23 16:19,"4,632","1,406",0.232858562,"6,038",387,240,0.382775120,627
2020-06-24 16:19,"4,714","1,325",0.219407187,"6,039",384,223,0.367380560,607
2020-06-25 16:19,"4,762","1,358",0.221895425,"6,120",405,213,0.344660194,618
2020-06-26 16:19,"4,762","1,289",0.213022641,"6,051",412,208,0.335483871,620
2020-06-27 16:19,"4,669","1,412",0.232198652,"6,081",394,217,0.355155483,611
2020-06-28 16:19,"4,578","1,451",0.240670095,"6,029",369,296,0.445112782,665
2020-06-29 16:19,"4,634","1,399",0.231891265,"6,033",387,219,0.361386139,606
2020-06-30 16:19,"4,877","1,209",0.198652645,"6,086",399,199,0.332775920,598
2020-07-01 16:19,"4,996","1,033",0.171338530,"6,029",397,193,0.327118644,590
2020-07-02 16:19,"5,027","1,046",0.172237774,"6,073",405,184,0.312393888,589
2020-07-03 16:19,"4,864","1,267",0.206654706,"6,131",391,200,0.338409475,591
2020-07-04 16:19,"4,834","1,244",0.204672590,"6,078",370,209,0.360967185,579
2020-07-05 16:19,"4,727","1,309",0.216865474,"6,036",370,205,0.356521739,575
2020-07-06 16:19,"4,827","1,271",0.208428993,"6,098",354,207,0.368983957,561
2020-07-07 16:19,"5,019",984,0.163918041,"6,003",394,199,0.335581788,593
2020-07-08 16:19,"5,315",921,0.147690827,"6,236",400,230,0.365079365,630
2020-07-09 16:19,"5,126",860,0.143668560,"5,986",391,231,0.371382637,622
2020-07-10 16:19,"5,080",917,0.152909788,"5,997",395,225,0.362903226,620
2020-07-11 16:19,"5,126",908,0.150480610,"6,034",373,232,0.383471074,605
2020-07-12 16:19,"4,963","1,160",0.189449616,"6,123",365,218,0.373927959,583
