Updated At,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Total AdultICU Capacity,Pediatric ICU Census,Available Pediatric ICU,Available Pediatric ICU%,Total PediatricICU Capacity
2020-05-31 13:19,"4,396","1,609",0.267943381,"6,005",365,237,0.393687708,602
2020-05-31 23:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 03:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 23:19,"4,290","1,714",0.285476349,"6,004",360,225,0.384615385,585
2020-06-02 03:19,"4,290","1,714",0.285476349,"6,004",360,225,0.384615385,585
2020-06-02 13:19,"4,422","1,626",0.268849206,"6,048",407,204,0.333878887,611
2020-06-02 23:19,"4,424","1,625",0.268639445,"6,049",407,204,0.333878887,611
2020-06-03 03:19,"4,426","1,623",0.268308811,"6,049",407,204,0.333878887,611
2020-06-03 13:19,"4,463","1,543",0.256909757,"6,006",388,207,0.347899160,595
2020-06-03 23:19,"4,460","1,552",0.258150366,"6,012",388,207,0.347899160,595
2020-06-04 03:19,"4,460","1,552",0.258150366,"6,012",388,207,0.347899160,595
2020-06-04 13:19,"4,499","1,535",0.254391780,"6,034",405,236,0.368174727,641
2020-06-04 23:19,"4,534","1,510",0.249834547,"6,044",408,237,0.367441860,645
2020-06-05 03:19,"4,530","1,510",0.25,"6,040",408,237,0.367441860,645
2020-06-05 13:19,"4,483","1,525",0.253828229,"6,008",385,210,0.352941176,595
2020-06-05 23:19,"4,471","1,535",0.255577756,"6,006",385,210,0.352941176,595
2020-06-06 03:19,"4,474","1,535",0.255450158,"6,009",385,210,0.352941176,595
2020-06-06 13:19,"4,528","1,483",0.246714357,"6,011",385,281,0.421921922,666
2020-06-06 23:19,"4,481","1,539",0.255647841,"6,020",388,278,0.417417417,666
2020-06-07 03:19,"4,486","1,534",0.254817276,"6,020",388,278,0.417417417,666
2020-06-07 13:19,"4,234","1,683",0.284434680,"5,917",362,227,0.385398981,589
2020-06-07 23:19,"4,195","1,712",0.289825631,"5,907",354,228,0.391752577,582
2020-06-08 03:19,"4,195","1,712",0.289825631,"5,907",354,228,0.391752577,582
2020-06-08 13:19,"4,238","1,662",0.281694915,"5,900",346,236,0.405498282,582
2020-06-08 23:19,"4,232","1,668",0.282711864,"5,900",346,236,0.405498282,582
2020-06-09 03:19,"4,232","1,668",0.282711864,"5,900",346,236,0.405498282,582
2020-06-09 13:19,"4,232","1,668",0.282711864,"5,900",346,236,0.405498282,582
2020-06-09 23:19,"4,555","1,469",0.243857902,"6,024",382,209,0.353637902,591
2020-06-10 03:19,"4,555","1,469",0.243857902,"6,024",382,209,0.353637902,591
2020-06-10 13:19,"4,638","1,378",0.229055851,"6,016",380,220,0.366666667,600
2020-06-10 23:19,"4,630","1,384",0.230129697,"6,014",380,220,0.366666667,600
2020-06-11 03:19,"4,629","1,385",0.230295976,"6,014",380,220,0.366666667,600
2020-06-11 13:19,"4,649","1,442",0.236742735,"6,091",407,189,0.317114094,596
2020-06-11 23:19,"4,656","1,434",0.235467980,"6,090",407,189,0.317114094,596
2020-06-12 03:19,"4,657","1,433",0.235303777,"6,090",407,189,0.317114094,596
2020-06-12 13:19,"4,741","1,437",0.232599547,"6,178",413,194,0.319604613,607
2020-06-12 23:19,"4,728","1,443",0.233835683,"6,171",413,194,0.319604613,607
2020-06-13 03:19,"4,728","1,443",0.233835683,"6,171",413,194,0.319604613,607
2020-06-13 23:19,"4,517","1,579",0.259022310,"6,096",389,212,0.352745424,601
2020-06-14 03:19,"4,518","1,578",0.258858268,"6,096",389,212,0.352745424,601
2020-06-14 13:19,"4,454","1,581",0.261971831,"6,035",367,226,0.381112985,593
2020-06-14 23:19,"4,455","1,584",0.262295082,"6,039",367,226,0.381112985,593
2020-06-15 03:19,"4,455","1,584",0.262295082,"6,039",367,226,0.381112985,593
2020-06-15 13:19,"4,363","1,659",0.275489870,"6,022",360,224,0.383561644,584
2020-06-15 23:19,"4,366","1,655",0.274871284,"6,021",361,223,0.381849315,584
2020-06-16 03:19,"4,366","1,655",0.274871284,"6,021",361,223,0.381849315,584
2020-06-16 13:19,"4,588","1,431",0.237747134,"6,019",361,239,0.398333333,600
2020-06-16 23:19,"4,585","1,433",0.238118976,"6,018",361,239,0.398333333,600
2020-06-17 03:19,"4,585","1,433",0.238118976,"6,018",361,239,0.398333333,600
2020-06-17 13:19,"4,601","1,404",0.233805162,"6,005",379,219,0.366220736,598
2020-06-17 23:19,"4,600","1,405",0.233971690,"6,005",379,219,0.366220736,598
2020-06-18 03:19,"4,600","1,405",0.233971690,"6,005",379,219,0.366220736,598
2020-06-18 13:19,"4,688","1,371",0.226274963,"6,059",427,181,0.297697368,608
2020-06-18 23:19,"4,682","1,382",0.227902375,"6,064",427,181,0.297697368,608
2020-06-19 03:19,"4,682","1,382",0.227902375,"6,064",427,181,0.297697368,608
2020-06-19 13:19,"4,769","1,378",0.224174394,"6,147",408,205,0.334420881,613
2020-06-19 23:19,"4,767","1,378",0.224247356,"6,145",408,205,0.334420881,613
2020-06-20 03:19,"4,767","1,378",0.224247356,"6,145",408,205,0.334420881,613
2020-06-20 13:19,"4,528","1,527",0.252188274,"6,055",393,208,0.346089850,601
2020-06-20 23:19,"4,522","1,533",0.253179191,"6,055",393,208,0.346089850,601
2020-06-21 03:19,"4,522","1,533",0.253179191,"6,055",393,208,0.346089850,601
2020-06-21 13:19,"4,316","1,647",0.276203253,"5,963",368,238,0.392739274,606
2020-06-21 23:19,"4,313","1,642",0.275734677,"5,955",368,238,0.392739274,606
2020-06-22 03:19,"4,313","1,642",0.275734677,"5,955",368,238,0.392739274,606
2020-06-22 13:19,"4,369","1,609",0.269153563,"5,978",461,240,0.342368046,701
2020-06-22 23:19,"4,369","1,609",0.269153563,"5,978",461,240,0.342368046,701
2020-06-23 03:19,"4,369","1,609",0.269153563,"5,978",461,240,0.342368046,701
