Updated At,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Total AdultICU Capacity,Pediatric ICU Census,Available Pediatric ICU,Available Pediatric ICU%,Total PediatricICU Capacity
2020-05-31 05:19,"4,440","1,563",0.260369815,"6,003",372,222,0.373737374,594
2020-05-31 06:19,"4,440","1,563",0.260369815,"6,003",372,222,0.373737374,594
2020-05-31 07:19,"4,444","1,560",0.259826782,"6,004",373,221,0.372053872,594
2020-05-31 08:19,"4,440","1,563",0.260369815,"6,003",372,222,0.373737374,594
2020-05-31 09:19,"4,440","1,563",0.260369815,"6,003",372,222,0.373737374,594
2020-05-31 10:19,"4,396","1,609",0.267943381,"6,005",365,237,0.393687708,602
2020-05-31 11:19,"4,396","1,609",0.267943381,"6,005",365,237,0.393687708,602
2020-05-31 12:19,"4,396","1,609",0.267943381,"6,005",365,237,0.393687708,602
2020-05-31 13:19,"4,396","1,609",0.267943381,"6,005",365,237,0.393687708,602
2020-05-31 14:19,"4,294","1,677",0.280857478,"5,971",363,234,0.391959799,597
2020-05-31 15:19,"4,294","1,677",0.280857478,"5,971",363,234,0.391959799,597
2020-05-31 16:19,"4,294","1,677",0.280857478,"5,971",363,234,0.391959799,597
2020-05-31 17:19,"4,396","1,609",0.267943381,"6,005",365,237,0.393687708,602
2020-05-31 18:19,"4,291","1,680",0.281359906,"5,971",363,234,0.391959799,597
2020-05-31 19:19,"4,291","1,680",0.281359906,"5,971",363,234,0.391959799,597
2020-05-31 20:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-05-31 21:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-05-31 22:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-05-31 23:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 00:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 01:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 02:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 03:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 04:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 05:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 06:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 07:19,"4,290","1,681",0.281527382,"5,971",363,234,0.391959799,597
2020-06-01 08:19,"4,291","1,685",0.281961178,"5,976",361,236,0.395309883,597
2020-06-01 09:19,"4,252","1,736",0.289913160,"5,988",355,233,0.396258503,588
2020-06-01 10:19,"4,284","1,721",0.286594505,"6,005",360,230,0.389830508,590
2020-06-01 11:19,"4,281","1,723",0.286975350,"6,004",356,229,0.391452991,585
2020-06-01 12:19,"4,287","1,717",0.285976016,"6,004",360,225,0.384615385,585
2020-06-01 13:20,"4,287","1,717",0.285976016,"6,004",360,225,0.384615385,585
2020-06-01 14:19,"4,288","1,716",0.285809460,"6,004",360,225,0.384615385,585
2020-06-01 15:19,"4,288","1,716",0.285809460,"6,004",360,225,0.384615385,585
2020-06-01 16:19,"4,288","1,716",0.285809460,"6,004",360,225,0.384615385,585
2020-06-01 17:19,"4,288","1,716",0.285809460,"6,004",360,225,0.384615385,585
2020-06-01 18:19,"4,291","1,713",0.285309793,"6,004",360,225,0.384615385,585
